,id,Title,Product_URL,Price_now,PHOTO_URL,Brand,Type,Color,Frameininches,Size,Gender,RidingStyle,Material,WheelSize,RearDerailleur,ItemCondition,Availability,bikeID,State,City,BrakingType
0,13058,2018 Heavily Upgraded Cannondale Jekyll 2 ,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/cannondale/fl/saint-petersburg/2018-heavily-upgraded-cannondale-jekyll-2/184072403,3250.0,https://marketplacer.imgix.net/d-/8G3ztNko8Xqr3mYiKrTnkhyag.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=6d27709bfda153e4dc2fb952bdf684c1,Cannondale,Full Suspension Mountain Bikes,Yellow,"21""",Large,Unisex,Enduro,Carbon,"27.5""",SRAM X01 Eagle,Used,Private ad,184072403,FL,Saint Petersburg,.
1,13059,Specialized Enduro Fsr Comp 29 2016,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/specialized/ca/san-pedro/enduro-fsr-comp-29/134527719,3500.0,https://marketplacer.imgix.net/N6/1TS1xDZay3tIm8dvgiT_6K87k.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=6f6e474945c8e88a6d16aaf8b2191d08,Specialized,Full Suspension Mountain Bikes,Matte Black,"17""",Medium,Unisex,Enduro,Aluminum,"29""",SRAM GX,New,In-store,134527719,CA,San Pedro,.
2,13060,Giant Anthem SX 27.5 2016,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/giant/oh/west-chester/anthem-sx-27-5/145165237,1799.99,https://marketplacer.imgix.net/-Q/n60HKTmpOW9PN2ex9FFQFJHyg.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=0ac7bd5d3917e374a6b53f75ab385077,Giant,Full Suspension Mountain Bikes,Green,"20""",Large,Unisex,Cross Country,Carbon,"27.5""",Shimano SLX,New,In-store,145165237,OH,West Chester,.
3,13061,Cannondale Trigger 27.5 Carbon Black Inc. 2015,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/cannondale/ca/laguna-woods/trigger-27-5-carbon-black-inc/100011220,6999.99,https://marketplacer.imgix.net/aC/sh5gatS79aaXPdAqqDW7SeUsQ.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=597f29bf1f54ebb44636acad51689c8c,Cannondale,Full Suspension Mountain Bikes,Black,"17"", 19""","Medium, Large",Unisex,Trail,Carbon,"27.5""",SRAM XX1,New,In-store,100011220,CA,Laguna Woods,.
4,13062,Haro Shift R9 LT 2017,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/haro/az/mesa/shift-r9-lt/134718360,1699.99,https://marketplacer.imgix.net/WP/tcSsaSkBikZgTGFODURKT56YI.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=c8e2e294506d5dafafda8a8040d5e9bb,Haro,Full Suspension Mountain Bikes,.,.,.,Unisex,Trail,Aluminum,"27.5""",Shimano XT,New,"Pick Up In Store, In-store",134718360,AZ,Mesa,.
5,13063,Jamis Halo XCT Pro 2017,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/jamis/ia/north-liberty/halo-xct-pro/170692766,2199.99,https://marketplacer.imgix.net/_w/TmQPVmuxJQXyG1mFVRtNP3te8.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=3f7f4ff2ad58899f36169aa502a34aec,Jamis,Full Suspension Mountain Bikes,.,.,.,Womens,Trail,Aluminum,"27.5""",Shimano Deore,New,"Pick Up In Store, Buy online",170692766,IA,North Liberty,.
6,13064,Haro FLC 29 Pro Carbon Hard Tail MTB 2017,https://www.bikeexchange.com/a/hardtail-mountain-bikes/haro/az/mesa/flc-29-pro-carbon-hard-tail-mtb/146028689,2499.99,https://marketplacer.imgix.net/-U/WhnaZ-qJdPqQKR-PXyd_BVSY0.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=4a6c1b71aef104b630708ba3f190e670,Haro,Hardtail Mountain Bikes,.,.,.,Unisex,Trail,Aluminum,"29""",SRAM X01,New,"Pick Up In Store, In-store",146028689,AZ,Mesa,.
7,13065,KHS Sixfifty 6700  2017,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/khs/or/bend/sixfifty-6700/136772204,3899.99,https://marketplacer.imgix.net/Ld/lkD0EieoabN4ZtL4-dky67yq4.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=540963af137977b99840ed2e6c6041d7,KHS,Full Suspension Mountain Bikes,.,.,.,Unisex,Trail,Carbon,"27.5""",SRAM X01,New,"Pick Up In Store, Buy online",136772204,OR,Bend,.
8,13067,Cannondale 27.5 Scalpel Si HM WC 2019,https://www.bikeexchange.com/a/full-suspension-mountain-bikes/cannondale/ia/north-liberty/27-5-scalpel-si-hm-wc/126951576,7000.0,https://marketplacer.imgix.net/Nd/GE-adTu6sPNoA0FK9tBkHVpMw.ashx?auto=format&fm=pjpg&fit=max&w=640&h=576&s=980ab6d9bbb14ad2e14f520399fecfe3,Cannondale,Full Suspension Mountain Bikes,Yellow,"15.5""",Small,Unisex,Cross Country,Carbon,"27.5""",SRAM XX1 Eagle,New,In-store,126951576,IA,North Liberty,.
9,13068,Felt Nine 6 2017,https://www.bikeexchange.com/a/hardtail-mountain-bikes/other/il/mount-vernon/felt-nine-6/119684704,1083.0,https://marketplacer.imgix.net/-F/-PAIV0keQ-FhQT3vFqimIA06M.jpg?auto=format&fm=pjpg&fit=max&w=640&h=576&s=a23b97099418f691dc0d229557dc0185,Other,Hardtail Mountain Bikes,Red,"16"", 18"", 20""","Small, Medium, Large",Unisex,Cross Country,Carbon,"29""",Shimano Deore,New,In-store,119684704,IL,Mount Vernon,.
